manufacturer,serial,device,lua,"本文件专用于H7-TOOL产品,版权归属武汉安富莱电子有限公司",2020-10-12,,,,
ST,STM32F4xx,STM32F413xG_423xG_1024,STM32F413xx_423xx_1024.lua,,,,,,
ST,STM32F4xx,STM32F413xH_423xH_1536,STM32F413xx_423xx_1536.lua,,,,,,
ST,STM32F4xx,STM32F42xxG_43xxG_1024,STM32F42xxx_43xxx_1024.lua,,,,,,
ST,STM32F4xx,STM32F42xxI_43xxI_2048,STM32F42xxx_43xxx_2048.lua,,,,,,
ST,STM32F4xx,STM32F42xxE_43xxE_512,STM32F42xxx_43xxx_512.lua,,,,,,
ST,STM32F4xx,STM32F446xC_256,STM32F446xx_256.lua,,,,,,
ST,STM32F4xx,STM32F446xE_512,STM32F446xx_512.lua,,,,,,
ST,STM32F4xx,STM32F469xG_479xG_1024,STM32F469xx_479xx_1024.lua,,,,,,
ST,STM32F4xx,STM32F469xI_479xI_2048,STM32F469xx_479xx_2048.lua,,,,,,
ST,STM32F4xx,STM32F469xE_479xE_512,STM32F469xx_479xx_512.lua,,,,,,
ST,STM32F4xx,********************,STM32F401xx_128.lua,,,,,,
ST,STM32F4xx,STM32F401CB,STM32F401xx_128.lua,,,,,,
ST,STM32F4xx,STM32F401CC,STM32F401xx_256.lua,,,,,,
ST,STM32F4xx,STM32F401CD,STM32F401xx_384.lua,,,,,,
ST,STM32F4xx,STM32F401CE,STM32F401xx_512.lua,,,,,,
ST,STM32F4xx,STM32F401RB,STM32F401xx_128.lua,,,,,,
ST,STM32F4xx,STM32F401RC,STM32F401xx_256.lua,,,,,,
ST,STM32F4xx,STM32F401RD,STM32F401xx_384.lua,,,,,,
ST,STM32F4xx,STM32F401RE,STM32F401xx_512.lua,,,,,,
ST,STM32F4xx,STM32F401VB,STM32F401xx_128.lua,,,,,,
ST,STM32F4xx,STM32F401VC,STM32F401xx_256.lua,,,,,,
ST,STM32F4xx,STM32F401VD,STM32F401xx_384.lua,,,,,,
